33,32,16,17,10,12,28,20,21,24,21,26,31,28,27,17,16,23.75,0,7,1,75,66,10,0,7
24,18,11,18,15,17,13,24,17.5,28,24,21,26,31,28,27,17,25.25,0,7,1,75,66,10,0,7
16,12,6,6,6,11,20,21,12.25,30,28,24,21,26,31,28,27,26.875,0,7,1,74,68,8,0,9
23,10,7,12,7,8,18,24,13.625,20,30,28,24,21,26,31,28,26,0,7,1,74,68,8,0,9
16,6,8,9,11,6,8,16,10,24,20,30,28,24,21,26,31,25.5,0,7,1,73,66,12,0,4
15,2,4,3,7,8,16,15,8.75,19,24,20,30,28,24,21,26,24,0,7,1,73,66,12,0,4
15,5,1,1,3,3,10,14,6.5,16,19,24,20,30,28,24,21,22.75,0,7,1,72,66,7,0,4
13,5,3,1,5,5,11,12,6.875,14,16,19,24,20,30,28,24,21.875,0,7,1,72,66,7,0,4
11,3,2,3,3,6,13,7,6,18,14,16,19,24,20,30,28,21.125,0,7,1,72,61,12,0,4
8,6,1,7,5,5,8,7,5.875,11,18,14,16,19,24,20,30,19,0,7,1,72,61,12,0,4
5,4,2,5,1,1,3,4,3.125,12,11,18,14,16,19,24,20,16.75,0,7,1,71,59,12,0,3
4,3,2,2,5,0,3,5,3,4,12,11,18,14,16,19,24,14.75,0,7,1,71,59,12,0,3
3,4,1,0,3,2,2,3,2.25,5,4,12,11,18,14,16,19,12.375,0,7,2,70,61,9,0,3
4,4,1,5,1,5,5,2,3.375,5,5,4,12,11,18,14,16,10.625,0,7,2,70,61,9,0,3
6,2,5,2,3,8,4,4,4.25,3,5,5,4,12,11,18,14,9,0,7,2,70,59,9,0,4
7,7,12,9,5,5,3,4,6.5,7,3,5,5,4,12,11,18,8.125,0,7,2,70,59,9,0,4
5,12,10,13,2,7,5,8,7.75,7,7,3,5,5,4,12,11,6.75,0,7,2,72,53,7,0,3
8,14,11,5,5,7,5,11,8.25,11,7,7,3,5,5,4,12,6.75,0,7,2,72,53,7,0,3
11,20,17,9,5,2,4,7,9.375,4,11,7,7,3,5,5,4,5.75,0,7,2,73,49,12,0,3
16,10,11,9,7,5,9,8,9.375,7,4,11,7,7,3,5,5,6.125,0,7,2,73,49,12,0,3
10,9,14,12,10,8,9,20,11.5,7,7,4,11,7,7,3,5,6.375,0,7,2,75,46,13,0,3
10,15,7,9,7,14,17,13,11.5,20,7,7,4,11,7,7,3,8.25,0,7,2,75,46,13,0,3
18,16,8,9,8,11,10,15,11.875,13,20,7,7,4,11,7,7,9.5,0,7,2,77,42,10,0,3
16,11,14,14,11,19,7,14,13.25,9,13,20,7,7,4,11,7,9.75,0,7,2,77,42,10,0,3
19,15,14,13,8,10,17,13,13.625,9,9,13,20,7,7,4,11,10,0,7,1,78,39,9,0,3
12,18,11,23,11,13,23,13,15.5,16,9,9,13,20,7,7,4,10.625,0,7,1,78,39,9,0,3
